document_id,page,table_index,row_index,column_index,content
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,PD no. Nº de SV
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,Seq. no. Nº de séq.
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,PD no. Nº de SV
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,Seq. no. Nº de séq.
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,PD no. Nº de SV
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,Seq. no. Nº de séq.
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,PD no. Nº de SV
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,Seq. no. Nº de séq.
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,ex:
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,105-A
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,87
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,22
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,173
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,82
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,44
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,132
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,220
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,66
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,133
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,216
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,1
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,137
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,190
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,23
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,140
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,330
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,45
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,1,,,133
