document_id,page,table_index,row_index,column_index,content
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,PD no. Nº de SV
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,Seq. no. Nº de ség.
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,105-4
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,87
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,1
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,194
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,282
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,285
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,32
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,34
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,34
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,93.
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,433
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,134
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,115
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,34
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,116
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,34
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,113
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,124
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,185
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,34
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,249
