document_id,page,table_index,row_index,column_index,content
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,PD no. Nº de SV
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,Seq. no. Nº de séq.
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,PD no. Nº de SV
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,Seq. no. Nº de séq.
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,PD no. Nº de SV
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,Seq. no. Nº de séq.
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,ex:
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,105-A
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,87
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,25
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,50
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,1
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,123
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,420
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,26
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,51
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,MNO 2
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,123
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,27
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,27
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,52
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,123
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,28
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,28
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,53
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,123
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,292
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,29
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,54
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,
605e5736-1a53-418f-ac57-653fb2bfba78,,1,,,123
