document_id,page,table_index,row_index,column_index,content
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,ex:
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,105-A
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,87
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,22
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,173
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,82
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,44
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,220
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,66
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,216
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,1
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,190
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,23
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,330
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,45
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,355
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,67
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,139
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,252
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,2
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,139
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,39
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,24
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,120
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,46
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,193
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,68
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,139
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,253
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,3
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,39
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,38
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,25
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,121
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,47
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,77
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,314
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,69
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,270
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,4
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,47
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,2.6
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,163
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,48
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,358
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,70
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,269
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,5
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,46
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,27
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,289.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,49
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,160
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,71
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,108
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,6
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,222
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,$ 28
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,270
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,50
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,162
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,72
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,138
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,276
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,7
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,139
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,220
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,29
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,322
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,51
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,151
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,73
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,253
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,8
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,329
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,30
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,135
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,155
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,52
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,152
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,74
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,254
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,9
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,50
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,328
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,31
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,282
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,53
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,222
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,75
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,347
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,10
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,191
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,32
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,283
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,54
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,181
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,76
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,486
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,11
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,173
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,107
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,33
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,42
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,55
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,291
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,·77
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,408
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,12
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,285
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,34
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,138
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,56
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,36
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,305
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,78
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,323
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,13
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,34
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,286
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,35
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,57
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,306
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,79
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,407
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,14
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,155
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,36
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,53
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,58
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,148
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,164
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,80
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,372
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,15
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,36
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,277
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,37
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,BY
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,201
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,59
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,1.65
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,81
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,262
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,16
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,343
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,38
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,399
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,60
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,163
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,82
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,270
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,17
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,344
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,39
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,400
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,61
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,173
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,385
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,83
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,135
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,152
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,18
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,249
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,40
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,101
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,62
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,123
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,24
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,84
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,135
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,151
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,19
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,27
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,41
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,373
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,63
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,173
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,289
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,85
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,176
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,29/
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,20
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,20
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,42
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,274
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,64
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,210
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,86
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,176
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,293
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,21
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177 -
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,390
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,43
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,273
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,65
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,212.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,87
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,339
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,PD no. Nº de SV
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,Seq. no. Nº de séq.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,ex:
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,105-A
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,87
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,22
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,201
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,44
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,173
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,162
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,66
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,5%.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,1
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,380
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,23
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,202
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,45
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,173
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,159
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,·67
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,176
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,386
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,2
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,382
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,24
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,133
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,217
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,46
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,444
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,68
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,.136
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,72.
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,3
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,161
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,25
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,176
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,46
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,47
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,445
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,69
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,132
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,200
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,4
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,137
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,101
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,26
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,176
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,45
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,48
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,44
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,70
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,140
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,160
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,292
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,27
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,176
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,44
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,49
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,267
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,71
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,SIS
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,134
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,289
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,28
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,"150"""
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,182
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,50
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,150
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,268
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,72
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,177
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,397
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,7
985b90db-6616-4d3c-aed7-6c306991625e,,1,,,"1,40"
