id,documentId,pageNumber,tableId,row,column,content,originalContent,cleanedContent,confidence,status,reviewerId,reviewedAt,updatedAt,_rid,_self,_etag,_attachments,_ts,blobName,riding
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col0,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,0,,,,1.0,approved,,,2025-04-28T10:27:39Z,6ookALMJiOIBAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIBAAAAAAAAAA==/,"""00008912-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col1,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,1,PD no. Nº de SV,PD no. Nº de SV,,0.8986904761904763,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOICAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOICAAAAAAAAAA==/,"""00008a12-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col2,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,2,Seq. no. Nº de séq.,Seq. no. Nº de séq.,,0.8967380952380953,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOIDAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIDAAAAAAAAAA==/,"""00008b12-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col3,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,3,,,,1.0,approved,,,2025-04-28T10:27:39Z,6ookALMJiOIEAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIEAAAAAAAAAA==/,"""00008c12-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col4,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,4,PD no. Nº de SV,PD no. Nº de SV,,0.8986904761904763,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOIFAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIFAAAAAAAAAA==/,"""00008d12-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col5,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,5,Seq. no. Nº de séq.,Seq. no. Nº de séq.,,0.8967380952380953,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOIGAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIGAAAAAAAAAA==/,"""00008e12-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col6,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,6,,,,1.0,approved,,,2025-04-28T10:27:39Z,6ookALMJiOIHAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIHAAAAAAAAAA==/,"""00008f12-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col7,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,7,PD no. Nº de SV,PD no. Nº de SV,,0.8986904761904763,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOIIAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIIAAAAAAAAAA==/,"""00009012-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col8,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,8,Seq. no. Nº de séq.,Seq. no. Nº de séq.,,0.8967380952380953,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOIJAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIJAAAAAAAAAA==/,"""00009112-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col9,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,9,,,,1.0,approved,,,2025-04-28T10:27:39Z,6ookALMJiOIKAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIKAAAAAAAAAA==/,"""00009212-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col10,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,10,PD no. Nº de SV,PD no. Nº de SV,,0.8986904761904763,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOILAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOILAAAAAAAAAA==/,"""00009312-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row0_col11,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,0,11,Seq. no. Nº de séq.,Seq. no. Nº de séq.,,0.8967380952380953,needs_review,,,2025-04-28T10:27:39Z,6ookALMJiOIMAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIMAAAAAAAAAA==/,"""00009412-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row1_col0,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,0,ex:,ex:,,0.9775,approved,,,2025-04-28T10:27:39Z,6ookALMJiOINAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOINAAAAAAAAAA==/,"""00009512-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_row1_col1,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,1,105-A,105-A,105,0.9375714285714285,approved,,,2025-04-28T10:27:39Z,6ookALMJiOIOAAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIOAAAAAAAAAA==/,"""00009612-0000-0a00-0000-680f581b0000""",attachments/,1745836059,,
