documentId,pageNumber,tableId,row,left_content,right_content,left_confidence,right_confidence
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,ex:,105-A,0.9775,0.9375714285714284
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,87,22,0.99125,0.994
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,173,82,0.9585555555555554,0.996
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,44,132,0.966,0.9308
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,220,66,0.9785,0.9733333333333332
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,1,133,216,0.9831,0.9348333333333332
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,2,1,137,0.997,0.949076923076923
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,2,190,23,0.993,0.996
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,2,140,330,0.984,0.996
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,2,45,133,0.99625,0.9831
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,2,355,67,0.995,0.9963333333333332
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,2,139,252,0.9319090909090908,0.9934
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,3,2,139,0.997,0.9319090909090908
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,3,136,120,0.9255,0.9736666666666668
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,3,46,148,0.996,0.992
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,3,193,68,0.9962,0.9953333333333332
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,3,139,253,0.9319090909090908,0.9945
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,4,38,25,0.996,0.9953333333333334
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,4,136,121,0.9255,0.98
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,4,47,77,0.996,0.9955
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,4,314,69,0.9816666666666666,0.996
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,4,177,270,0.9576999999999998,0.933375
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,5,4,133,0.997,0.9831
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,5,150,163,0.9617272727272728,0.9847142857142857
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,5,48,140,0.9966666666666668,0.984
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,5,358,70,0.995,0.9965
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,5,177,269,0.9576999999999998,0.996
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6,5,133,0.995,0.9831
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6,46,27,0.996,0.908
