FULL_PD,SEQUENCE_NUMBER,FULL_PD_cleaned,SEQUENCE_NUMBER_cleaned,ED_CODE,id,documentId,pageNumber,tableIndex,_rid,_self,_etag,_attachments,_ts,riding
133,216,133,216,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair0,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIBAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIBAAAAAAAAAA==/,"""020085a6-0000-0a00-0000-680f58210000""",attachments/,1745836065,
139,252,139,252,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair1,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lICAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lICAAAAAAAAAA==/,"""020086a6-0000-0a00-0000-680f58210000""",attachments/,1745836065,
139,253,139,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair2,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIDAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIDAAAAAAAAAA==/,"""020087a6-0000-0a00-0000-680f58210000""",attachments/,1745836065,
177,270,177,270,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair3,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIEAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIEAAAAAAAAAA==/,"""020088a6-0000-0a00-0000-680f58210000""",attachments/,1745836065,
177,269,177,269,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair4,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIFAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIFAAAAAAAAAA==/,"""020089a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
148,108,148,108,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair5,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIGAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIGAAAAAAAAAA==/,"""02008ba6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
138,276,138,276,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair6,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIHAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIHAAAAAAAAAA==/,"""02008da6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
134,253,134,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair7,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIIAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIIAAAAAAAAAA==/,"""02008ea6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
134,254,134,254,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair8,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIJAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIJAAAAAAAAAA==/,"""02008fa6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
132,347,132,347,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair9,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIKAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIKAAAAAAAAAA==/,"""020090a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
148,486,148,486,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair10,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lILAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lILAAAAAAAAAA==/,"""020091a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
148,408,148,408,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair11,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIMAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIMAAAAAAAAAA==/,"""020092a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
134,323,134,323,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair12,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lINAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lINAAAAAAAAAA==/,"""020093a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
148,407,148,407,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair13,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIOAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIOAAAAAAAAAA==/,"""020095a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
136,372,136,372,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair14,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIPAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIPAAAAAAAAAA==/,"""020096a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
132,262,132,262,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair15,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIQAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIQAAAAAAAAAA==/,"""020097a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
132,270,132,270,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair16,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIRAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIRAAAAAAAAAA==/,"""020098a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
135,152,135,152,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair17,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lISAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lISAAAAAAAAAA==/,"""020099a6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
135,151,135,151,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair18,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lITAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lITAAAAAAAAAA==/,"""02009aa6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
176,29/,176,29,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair19,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIUAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIUAAAAAAAAAA==/,"""02009ba6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
176,293,176,293,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair20,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIVAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIVAAAAAAAAAA==/,"""02009ca6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
136,339,136,339,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page1_table1_pair21,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6ookAOo23lIWAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIWAAAAAAAAAA==/,"""02009da6-0000-0a00-0000-680f58220000""",attachments/,1745836066,
136,5%.,136,5,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair0,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIXAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIXAAAAAAAAAA==/,"""0200a2a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
176,386,176,386,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair1,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIYAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIYAAAAAAAAAA==/,"""0200a3a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
