FULL_PD,SEQUENCE_NUMBER,FULL_PD_cleaned,SEQUENCE_NUMBER_cleaned,ED_CODE,DocumentID,Filename,Riding,Status,Page,Table,PD_confidence,SEQ_confidence,PD_status,SEQ_status,PD_image_url,SEQ_image_url
133,216,133,216,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9831,0.9348333333333333,approved,approved,,
139,252,139,252,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9319090909090909,0.9934,approved,approved,,
139,253,139,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9319090909090909,0.9944999999999999,approved,approved,,
177,270,177,270,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9576999999999998,0.9333750000000001,approved,approved,,
177,269,177,269,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9576999999999998,0.9959999999999999,approved,approved,,
148,108,148,108,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.9895,approved,approved,,
138,276,138,276,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9513750000000001,0.9461428571428571,approved,approved,,
134,253,134,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9599230769230769,0.9944999999999999,approved,approved,,
134,254,134,254,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9599230769230769,0.9790000000000001,approved,approved,,
132,347,132,347,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9308,0.95125,approved,approved,,
148,486,148,486,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.9960000000000001,approved,approved,,
148,408,148,408,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.99425,approved,approved,,
134,323,134,323,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9599230769230769,0.962,approved,approved,,
148,407,148,407,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.9957499999999999,approved,approved,,
136,372,136,372,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9255,0.9929999999999999,approved,approved,,
132,262,132,262,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9308,0.9964999999999999,approved,approved,,
132,270,132,270,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9308,0.9333750000000001,approved,approved,,
135,152,135,152,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.990375,0.9899999999999999,approved,approved,,
135,151,135,151,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.990375,0.9788333333333333,approved,approved,,
176,29/,176,29,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9858571428571429,0.9679999999999997,approved,approved,,
176,293,176,293,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9858571428571429,0.9945999999999999,approved,approved,,
136,339,136,339,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9255,0.9072857142857143,approved,approved,,
136,5%.,136,5,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9771818181818184,0.406,approved,needs_review,,
176,386,176,386,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9954999999999998,approved,approved,,
.136,72.,136,72,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.95775,0.89225,approved,needs_review,,
