DocumentId,Riding,PageNumber,TableIndex,FULL_PD,FULL_PD_cleaned,SEQUENCE_NUMBER,SEQUENCE_NUMBER_cleaned,ED_CODE
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,133,133,216,216,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,139,139,252,252,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,139,139,253,253,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,177,177,270,270,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,177,177,269,269,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,148,148,108,108,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,138,138,276,276,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,134,134,253,253,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,134,134,254,254,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,132,132,347,347,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,148,148,486,486,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,148,148,408,408,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,134,134,323,323,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,148,148,407,407,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,136,136,372,372,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,132,132,262,262,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,132,132,270,270,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,135,135,152,152,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,135,135,151,151,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,176,176,29/,29,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,176,176,293,293,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,1,1,136,136,339,339,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,2,1,136,136,5%.,5,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,2,1,176,176,386,386,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,2,1,.136,136,72.,72,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,2,1,132,132,200,200,35023
