ED_CODE,FULL_PD,SEQUENCE_NUMBER,ROW
35023,,105-A,1
35023,1,141,2
35023,2,185,3
35023,3,"185,",4
35023,4,156,5
35023,5,154,6
35023,6,14.6,7
35023,7,144,8
35023,8,144,9
35023,9,184,10
35023,10,141,11
35023,11,142,12
35023,12,142,13
35023,13,184,14
35023,14,143,15
35023,15,143,16
35023,16,143,17
35023,17,155,18
35023,18,145,19
35023,19,185,20
35023,20,163,21
35023,21,16.3,22
35023,87,22,1
35023,416,23,2
35023,400,24,3
35023,399.,25,4
35023,410,26,5
35023,409,27,6
35023,158,28,7
35023,520,29,8
35023,319,30,9
35023,11,31,10
35023,165,32,11
35023,203,33,12
35023,204,34,13
35023,353,35,14
35023,257,36,15
35023,259,37,16
35023,29,38,17
35023,18.,39,18
35023,393,40,19
35023,364,41,20
35023,184,42,21
35023,185,43,22
35023,146,258,1
35023,146,5,2
35023,146,4,3
35023,145,209.,4
35023,156,308,5
35023,156,307,6
35023,141,190,7
35023,142,237,8
35023,14),86,9
35023,,87,10
35023,141,85,11
35023,141,413,12
35023,185,105,13
35023,185,158,14
35023,185,100,15
35023,157,401,16
35023,141,417,17
35023,146,392,18
35023,143,373,19
35023,143,372,20
35023,143,371.,21
35023,156,464,22
35023,44,146,1
35023,45,144,2
35023,46,146,3
35023,47,155.,4
35023,48,144,5
35023,49,144,6
35023,50,142,7
35023,51,142,8
35023,52,142,9
35023,53,142,10
35023,54,185,11
35023,55,141,12
35023,56,141,13
35023,57,141,14
35023,58,163,15
35023,59,184,16
35023,60,,17
35023,61,144,18
35023,62,144,19
35023,63,146,20
35023,64,146,21
35023,65,146,22
35023,1/8,66,1
35023,16,67,2
35023,22,68,3
35023,389,69,4
35023,15,70,5
35023,48,71,6
35023,420,72,7
35023,$21,73,8
35023,549,74,9
35023,548,75,10
35023,46,76,11
35023,212,77,12
35023,213,78,13
35023,2/4,79,14
35023,335,80,15
35023,111,81,16
35023,52,82,17
35023,494,83,18
35023,496,84,19
35023,426,85,20
35023,156,86,21
35023,155,87,22
35023,145 -,392,1
35023,157,316,2
35023,157,3/7/317,3
35023,163,15.9,4
35023,156,36,5
35023,143,383,6
35023,143,334,7
35023,146,84,8
35023,146,33,9
35023,144,317,10
35023,141,392,11
35023,157,585,12
35023,157,586,13
35023,184,93,14
35023,184,94,15
35023,185,92,16
35023,145,247,17
35023,145,246,18
35023,163,103,19
35023,141,411.,20
35023,157,29.,21
35023,166,466,22
