ED_CODE,FULL_PD,SEQUENCE_NUMBER,ROW
35023,ex:,1.05-A,1
35023,1,172,2
35023,2,147,3
35023,3,81,4
35023,4,181,5
35023,"5
in",183,6
35023,"6
00",149,7
35023,1,181,8
35023,"8
00",182,9
35023,9,149,10
35023,10,181,11
35023,11,169,12
35023,12,179,13
35023,13,172,14
35023,14,172,15
35023,15,195,16
35023,16,195,17
35023,17,169,18
35023,18,15/,19
35023,19,196,20
35023,20,196,21
35023,21,196,22
35023,87.,22,1
35023,444,23,2
35023,103,24,3
35023,286,25,4
35023,332,26,5
35023,141,27,6
35023,252,28,7
35023,168,29,8
35023,187,30,9
35023,82,31,10
35023,78,32,11
35023,230,33,12
35023,350,34,13
35023,155,35,14
35023,154,36,15
35023,161,37,16
35023,164,38,17
35023,222,39,18
35023,142,40,19
35023,507,41,20
35023,459,42,21
35023,458,43,22
35023,182,188,1
35023,172,404,2
35023,149,83,3
35023,182,10,4
35023,172,137,5
35023,172,136,6
35023,168,109.,7
35023,168,107,8
35023,168,87,9
35023,180,22,10
35023,181,,11
35023,169,211,12
35023,169,212,13
35023,149,209,14
35023,149,210,15
35023,171,408,16
35023,171,410,17
35023,171,409,18
35023,179,346,19
35023,179,345,20
35023,171,31,21
35023,171,30,22
35023,44,171,1
35023,45,171,2
35023,46,15/,3
35023,47,196,4
35023,48,196,5
35023,49,196,6
35023,50,182,7
35023,51,180,8
35023,52,179,9
35023,53,179,10
35023,54,182,11
35023,55,151,12
35023,56,172,13
35023,57,196,14
35023,58,196,15
35023,59,196,16
35023,60,179,17
35023,61,195,18
35023,62,147,19
35023,63,170,20
35023,64,170,21
35023,65,,22
